2018-12-12 14:19:34.810 [main] INFO  [o.s.w.context.support.GenericWebApplicationContext:583] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 14:19:34 CST 2018]; root of context hierarchy
2018-12-12 14:19:36.486 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.2.5.Final
2018-12-12 14:19:41.809 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:930] - {dataSource-1} inited
2018-12-12 14:19:48.462 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerAdapter:534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 14:19:34 CST 2018]; root of context hierarchy
2018-12-12 14:19:48.602 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/testError]}" onto public java.lang.String cn.jeelearn.house.web.controller.HelloController.testError(org.springframework.ui.ModelMap)
2018-12-12 14:19:48.605 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/hello]}" onto public java.lang.String cn.jeelearn.house.web.controller.HelloController.hello(org.springframework.ui.ModelMap)
2018-12-12 14:19:48.608 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/accounts/register]}" onto public java.lang.String cn.jeelearn.house.web.controller.UserController.register(cn.jeelearn.house.common.model.User,org.springframework.ui.ModelMap)
2018-12-12 14:19:48.609 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/accounts/user]}" onto public java.util.List<cn.jeelearn.house.common.model.User> cn.jeelearn.house.web.controller.UserController.queryUsers()
2018-12-12 14:19:48.613 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-12-12 14:19:48.614 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-12 14:19:48.665 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 14:19:48.666 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 14:19:48.691 [main] INFO  [o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:273] - Detected @ExceptionHandler methods in errorHandler
2018-12-12 14:19:48.732 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-12 14:19:50.430 [main] INFO  [o.s.w.servlet.view.freemarker.FreeMarkerConfigurer:127] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-12-12 14:19:51.110 [main] INFO  [cn.jeelearn.house.HouseApplicationTests:57] - Started HouseApplicationTests in 17.143 seconds (JVM running for 19.207)
2018-12-12 14:19:54.742 [Thread-1] INFO  [o.s.w.context.support.GenericWebApplicationContext:984] - Closing org.springframework.web.context.support.GenericWebApplicationContext@222a59e6: startup date [Wed Dec 12 14:19:34 CST 2018]; root of context hierarchy
2018-12-12 14:19:54.790 [Thread-1] INFO  [com.alibaba.druid.pool.DruidDataSource:1825] - {dataSource-1} closed
2018-12-12 17:41:58.637 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.jeelearn.house.HouseApplicationTests], using SpringBootContextLoader
2018-12-12 17:41:58.705 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [cn.jeelearn.house.HouseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-12 17:41:58.706 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [cn.jeelearn.house.HouseApplicationTests]: HouseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-12 17:41:58.952 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Found @SpringBootConfiguration cn.jeelearn.house.HouseApplication for test class cn.jeelearn.house.HouseApplicationTests
